,상호명,지점명,상권업종대분류명,상권업종중분류명,시도명,시군구명,행정동명,위도,경도
12526,윤커피,,음식,커피점/카페,서울특별시,노원구,중계2.3동,37.6430601458511,127.063990438068
12527,카페플래닝스쿨,,음식,커피점/카페,서울특별시,광진구,구의1동,37.5387553631958,127.083525054102
12528,코레우리,,음식,커피점/카페,서울특별시,강서구,가양1동,37.5722341498922,126.832899556225
12529,빽다방PAIKSCOFFEE,PAIKSCOFFEE,음식,커피점/카페,서울특별시,마포구,도화동,37.5387565919428,126.946484041253
12530,카페디엠,,음식,커피점/카페,서울특별시,동작구,노량진1동,37.5101568940988,126.940382309532
12531,컴포즈커피,성수점,음식,커피점/카페,서울특별시,성동구,성수1가2동,37.5462650233804,127.047582150892
12532,청년다방,월곡역점,음식,커피점/카페,서울특별시,성북구,월곡2동,37.6015855471949,127.041565940579
12533,큐브,스퀘어,음식,커피점/카페,서울특별시,강서구,등촌1동,37.5584556189768,126.854800245129
12534,COFFEEO,,음식,커피점/카페,서울특별시,송파구,장지동,37.4806292257155,127.126488667226
12535,플라티,,음식,커피점/카페,서울특별시,서초구,서초1동,37.4866275692219,127.02370061009
12536,리사르커피,,음식,커피점/카페,서울특별시,중구,약수동,37.5524648517995,127.010404489495
12537,커피에반하다,신목동점,음식,커피점/카페,서울특별시,양천구,신정2동,37.5190179052702,126.873604750147
12538,엠앤피테라스,,음식,커피점/카페,서울특별시,관악구,청룡동,37.4790723200047,126.946610254229
12539,맛.싱,,음식,커피점/카페,서울특별시,성북구,장위1동,37.6169007981404,127.046829133443
12540,스타캐슬카페아띠,,음식,커피점/카페,서울특별시,서초구,서초1동,37.4847223943346,127.017789088758
12541,로우키,,음식,커피점/카페,서울특별시,성동구,성수2가3동,37.5441885684772,127.051557945515
12542,CJ푸드빌투썸플레이스퀘,,음식,커피점/카페,서울특별시,중구,회현동,37.5554947274348,126.973739611968
12543,센터커피,삼성점,음식,커피점/카페,서울특별시,강남구,삼성1동,37.5109373298659,127.064817124889
12544,카페엘사,,음식,커피점/카페,서울특별시,송파구,문정2동,37.4868558812298,127.120457028497
12545,카페요이,,음식,커피점/카페,서울특별시,마포구,합정동,37.5535057973702,126.911622053722
12546,베네디아,,음식,커피점/카페,서울특별시,마포구,신수동,37.5469808594114,126.936183369695
12547,소프트리,,음식,커피점/카페,서울특별시,서초구,서초3동,37.4933392452918,127.011637484495
12548,청춘술다방,,음식,커피점/카페,서울특별시,은평구,갈현1동,37.6193999189345,126.919633570769
12549,플라워카페루,,음식,커피점/카페,서울특별시,양천구,신정7동,37.5153963621361,126.859587375178
12550,투썸플레이스압구정51케이,,음식,커피점/카페,서울특별시,강남구,압구정동,37.5243384831738,127.029386418917
12551,카페게이트신라스테,,음식,커피점/카페,서울특별시,종로구,종로1.2.3.4가동,37.5726602546037,126.981100163919
12552,고디바_,가로수길점,음식,커피점/카페,서울특별시,강남구,신사동,37.5210060306711,127.023003951165
12553,커피밀,,음식,커피점/카페,서울특별시,중구,명동,37.5666333865863,126.988562646465
12554,레가,,음식,커피점/카페,서울특별시,용산구,한강로동,37.5302023786185,126.971665043963
12555,에이치엠커피,,음식,커피점/카페,서울특별시,마포구,연남동,37.5615757011072,126.918114830714
12556,카페테바,,음식,커피점/카페,서울특별시,서대문구,충현동,37.5616378924264,126.967316802047
12557,샌드커피논탄토,,음식,커피점/카페,서울특별시,마포구,서교동,37.5592611982566,126.924158385181
12558,카페안나,,음식,커피점/카페,서울특별시,강남구,청담동,37.5240667837318,127.050274139843
12559,투썸플레이스가산대성디폴리스점,가산대성디폴리스점,음식,커피점/카페,서울특별시,금천구,가산동,37.4799449018353,126.876995544881
12560,카페,몽키보드,음식,커피점/카페,서울특별시,강서구,방화1동,37.5666638563349,126.812826531431
12561,카페,대세스터디,음식,커피점/카페,서울특별시,양천구,신정4동,37.5255531719725,126.861672799366
